neuronsPerLayer,hiddenLayers,gen,score,count
1,1,47,52.0,1
1,1,47,54.0,2
1,1,47,55.0,1
1,1,47,58.0,1
1,1,48,36.0,1
1,1,48,39.0,1
1,1,48,40.0,1
1,1,48,41.0,1
1,1,48,44.0,3
1,1,48,45.0,5
1,1,48,46.0,1
1,1,48,47.0,2
1,1,48,48.0,1
1,1,48,50.0,1
1,1,48,51.0,2
1,1,48,52.0,1
1,1,48,53.0,2
1,1,48,56.0,1
1,1,48,57.0,1
1,1,48,60.0,1
1,1,49,33.0,1
1,1,49,36.0,1
1,1,49,39.0,1
1,1,49,42.0,1
1,1,49,43.0,2
1,1,49,45.0,2
1,1,49,46.0,1
1,1,49,47.0,2
1,1,49,48.0,2
1,1,49,49.0,2
1,1,49,50.0,2
1,1,49,51.0,1
1,1,49,52.0,2
1,1,49,54.0,2
1,1,49,55.0,1
1,1,49,57.0,1
1,1,49,59.0,1
1,1,50,34.0,1
1,1,50,36.0,2
1,1,50,42.0,1
1,1,50,43.0,6
1,1,50,44.0,1
1,1,50,46.0,2
1,1,50,47.0,1
1,1,50,48.0,2
1,1,50,51.0,3
1,1,50,52.0,1
1,1,50,53.0,1
1,1,50,55.0,2
1,1,50,59.0,2
1,1,51,37.0,2
1,1,51,40.0,4
1,1,51,41.0,1
1,1,51,43.0,1
1,1,51,44.0,2
1,1,51,45.0,3
1,1,51,47.0,2
1,1,51,48.0,1
1,1,51,49.0,1
1,1,51,50.0,1
1,1,51,51.0,2
1,1,51,52.0,2
1,1,51,53.0,2
1,1,51,54.0,1
1,1,52,28.0,1
1,1,52,39.0,2
1,1,52,43.0,3
1,1,52,44.0,1
1,1,52,45.0,2
1,1,52,46.0,2
1,1,52,47.0,1
1,1,52,48.0,1
1,1,52,49.0,1
1,1,52,50.0,3
1,1,52,51.0,2
1,1,52,53.0,2
1,1,52,55.0,3
1,1,52,57.0,1
1,1,53,28.0,1
1,1,53,36.0,1
1,1,53,38.0,1
1,1,53,40.0,3
1,1,53,42.0,1
1,1,53,44.0,1
1,1,53,45.0,3
1,1,53,47.0,4
1,1,53,49.0,3
1,1,53,50.0,3
1,1,53,51.0,1
1,1,53,55.0,1
1,1,53,58.0,1
1,1,53,59.0,1
1,1,54,37.0,1
1,1,54,39.0,1
1,1,54,41.0,1
1,1,54,42.0,1
1,1,54,43.0,2
1,1,54,44.0,1
1,1,54,45.0,1
1,1,54,46.0,2
1,1,54,47.0,2
1,1,54,48.0,1
1,1,54,51.0,1
